Name,Page Link,Auther Name,Rating,Price
A Promised Land,/Promised-Land-Barack-Obama/dp/1524763160?_encoding=UTF8&psc=1,Barack Obama,"20,506",$23.96
The Very Hungry Caterpillar,/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907?_encoding=UTF8&psc=1,Eric Carle,"28,950",$4.60
If Animals Kissed Good Night,/If-Animals-Kissed-Good-Night/dp/0374300216?_encoding=UTF8&psc=1,Ann Whitford Paul,"27,676",$4.79
I Love You to the Moon and Back,/I-Love-You-Moon-Back/dp/1589255518?_encoding=UTF8&psc=1,Amelia Hepworth,"16,194",$5.00
Ready Player Two: A Novel,/Ready-Player-Two-Ernest-Cline/dp/1524761338?_encoding=UTF8&psc=1,Ernest Cline,"5,740",$17.39
Greenlights,/Greenlights-Matthew-McConaughey/dp/0593139135?_encoding=UTF8&psc=1,Matthew McConaughey,"9,620",$18.00
Pretty Simple Lettering: Modern Calligraphy & Hand Lettering for Beginners: A Step by Step Guide to Beautiful Hand Lettering & Brush Pen Calligraphy Design,/Pretty-Simple-Lettering-Calligraphy-Beginners/dp/1948209470?_encoding=UTF8&psc=1,,"2,708",$17.59
The Midnight Library: A Novel,/Midnight-Library-Novel-Matt-Haig/dp/0525559477?_encoding=UTF8&psc=1,Matt Haig,"12,354",$17.19
The Vanishing Half: A Novel,/Vanishing-Half-Novel-Brit-Bennett/dp/0525536299?_encoding=UTF8&psc=1,Brit Bennett,"24,787",$16.42
Caste (Oprah's Book Club): The Origins of Our Discontents,/Caste-Origins-Discontents-Isabel-Wilkerson/dp/0593230256?_encoding=UTF8&psc=1,Isabel Wilkerson,"13,922",$19.02
Tasha's Cauldron of Everything (D&D Rules Expansion) (Dungeons & Dragons),/Cauldron-Everything-Expansion-Dungeons-Dragons/dp/0786967021?_encoding=UTF8&psc=1,Wizards RPG Team,"2,838",$31.48
"See, Touch, Feel: A First Sensory Book",/See-Touch-Feel-First-Sensory/dp/0312527594?_encoding=UTF8&psc=1,Roger Priddy,"3,060",$10.78
How to Draw Cool Stuff: A Drawing Guide for Teachers and Students,/How-Draw-Cool-Stuff-Teachers/dp/0615991424?_encoding=UTF8&psc=1,Catherine V Holmes,"5,655",$12.59
"Interesting Stories For Curious People: A Collection of Fascinating Stories About History, Science, Pop Culture and Just About Anything Else You Can Think of",/Interesting-Stories-Curious-People-Fascinating/dp/164845044X?_encoding=UTF8&psc=1,Bill O'Neill,"1,294",$11.90
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for Wizards and Non-Wizards Alike (Unofficial Cookbook),/Unofficial-Harry-Potter-Cookbook-Knickerbocker/dp/1440503257?_encoding=UTF8&psc=1,Dinah Bucholz,"12,832",$10.72
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,/Atomic-Habits-Proven-Build-Break/dp/0735211299?_encoding=UTF8&psc=1,James Clear,"20,253",$11.98
"The Unofficial Disney Parks Cookbook: From Delicious Dole Whip to Tasty Mickey Pretzels, 100 Magical Disney-Inspired Recipes (Unofficial Cookbook)",/Unofficial-Disney-Parks-Cookbook-Disney-Inspired/dp/1507214510?_encoding=UTF8&psc=1,Ashley Craft,615,$19.79
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,/Lettering-Modern-Calligraphy-Beginners-Guide/dp/1948209004?_encoding=UTF8&psc=1,,"10,529",$6.99
Goodnight Moon,/Goodnight-Moon-Margaret-Wise-Brown/dp/0694003611?_encoding=UTF8&psc=1,Margaret Wise Brown,"12,547",$5.00
The Invisible Life of Addie LaRue,/Invisible-Life-Addie-LaRue/dp/0765387565?_encoding=UTF8&psc=1,V. E. Schwab,"5,019",$22.49
"Brown Bear, Brown Bear, What Do You See?",/Brown-Bear-What-You-See/dp/0805047905?_encoding=UTF8&psc=1,,"21,062",$5.00
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,/Good-Days-Start-Gratitude-Cultivate/dp/1976436184?_encoding=UTF8&psc=1,,"14,476",$6.99
Where's Spot?,/Wheres-Spot-Eric-Hill/dp/0399240462?_encoding=UTF8&psc=1,Eric Hill,"13,333",$5.00
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",/Salt-Fat-Acid-Heat-Mastering/dp/1476753830?_encoding=UTF8&psc=1,Samin Nosrat,"10,480",$20.96
Dessert Person: Recipes and Guidance for Baking with Confidence,/Dessert-Person-Recipes-Guidance-Confidence/dp/1984826964?_encoding=UTF8&psc=1,Claire Saffitz,976,$27.99
"The Boy, the Mole, the Fox and the Horse",/Boy-Mole-Fox-Horse/dp/0062976583?_encoding=UTF8&psc=1,Charlie Mackesy,"33,957",$14.76
The Screaming Goat (Book & Figure),/The-Screaming-Goat-Book-Figure/dp/0762459816?_encoding=UTF8&psc=1,,"7,538",$8.38
Heroes' Feast (Dungeons & Dragons): The Official D&D Cookbook,/Heroes-Feast-Official-Dungeons-Cookbook/dp/1984858904?_encoding=UTF8&psc=1,Kyle Newman,"1,470",$14.99
